Name,Department Profile,Specialties,Education,Location,About,Profile Link
Amanda Balakirsky,"PsyD, Ferkauf Graduate School of Psychology, Yeshiva University ","Health Psychology, New Jersey Veteran’s Affairs ","Health Psychology, New Jersey Veteran’s Affairs ",New York,"Patients and caregivers come to me for help with a range of concerns, including anxiety, depression, and existential distress. We address them together in our sessions, during which I actively listen, ask clarifying questions, and provide my understanding of the stressor(s) at hand. It is my hope that patients and their support system feel understood after meeting with me and walk away with a sense of hope regarding their psychological and health concerns.",https://www.mskcc.org/cancer-care/doctors/amanda-balakirsky
Tejus A. Bale,Assistant Attending Pathologist ,Neuropathology | Molecular Pathology ,"MD-PhD, Stony Brook University School of Medicine ",New York,"As a pathologist, my work involves studying tissue samples of the brain and spinal cord taken during surgery in order to diagnose and classify tumors. Making a precise diagnosis requires using observations we make at the microscope, as well as information from molecular genetic assessments. This process is critical for predicting how a tumor is likely to behave and helps to guide treatment decisions.",https://www.mskcc.org/cancer-care/doctors/tejus-bale
Fiyinfolu Balogun,Assistant Attending Physician ,Gastrointestinal Cancers ,"PhD, University of Chicago | MD, University of Chicago ",New York,"I specialize in treating cancers of the gastrointestinal tract, including colon cancer, rectal cancer, neuroendocrine cancers, gallbladder cancer, and pancreatic cancer, among others.",https://www.mskcc.org/cancer-care/doctors/fiyinfolu-balogun
Gabriela Bambrick-Santoyo,Assistant Attending Physician ,Inpatient Treatment of Internal Medicine and Oncologic Issues ,"MD, Universidad Nacional Autonoma de Mexico, UNAM ",New York,I am a board-certified internal medicine physician dedicated to caring for patients admitted to Memorial Sloan Kettering Cancer Center. I am committed to delivering the highest quality of care that is based on the most current evidence and is rooted in compassion and communication.,https://www.mskcc.org/cancer-care/doctors/gabriela-bambrick-santoyo
Chaitanya Bandlamudi,Assistant Attending Geneticist ,Cancer Genomics | Germline Genetics | Computational Oncology ,"PhD, University of Chicago ",,"I am a geneticist specializing in cancer genomics and computational oncology with an emphasis on germline predisposition to cancer (how cancer predisposition genes affect an individual’s risk for developing disease). My research is focused on understanding how tumors develop, progress, and respond to various therapies in patients who are at an increased risk for inherited cancer. In this work, I draw upon my expertise in cancer biology, germline genetics, and computer science to leverage molecular profiling, a form of testing that identifies mutations and classifies tumors based on their genetic makeup. The insights derived from this research can be used to improve clinical interventions and, ultimately, advance care for our patients.",https://www.mskcc.org/cancer-care/doctors/chaitanya-bandlamudi
Erin Bange,Assistant Attending Physician ,Genitourinary Cancers ,"MD, Thomas Jefferson University | MS (Clinical Epidemiology), University of Pennsylvania ",New York,"I am a medical oncologist whose clinical practice is dedicated to the care of patients with genitourinary cancers, (prostate, bladder, kidney, and testicular cancers).",https://www.mskcc.org/cancer-care/doctors/erin-bange
Aisha Baqai-Stern,Assistant Attending Anesthesiologist ,Management of Cancer Pain and Acute Postoperative Pain | General and Regional Anesthesia | Interventional Pain Procedures | Medical Management of Pain ,"MD, Weill Cornell Medical College ",West Harrison,"I am a board-certified anesthesiologist who has specialized training in pain medicine. I am a member of both the Anesthesiology Service and the Pain Service at Memorial Sloan Kettering. At our Manhattan location, I work in the operating rooms as an anesthesiologist. In conjunction with fellows and residents, I also care for people who are hospitalized who are experiencing acute and chronic pain.. At MSK Westchester, I see outpatients in the pain clinic, and I also provide anesthesia for people having procedures in interventional radiology. I specialize in treating cancer pain using medications, nerve blocks, intrathecal drug delivery systems, radiofrequency techniques, and neurolytic blocks.",https://www.mskcc.org/cancer-care/doctors/aisha-baqai-stern
Christopher A. Barker,"Vice-Chair, Clinical Research, Department of Radiation Oncology | Director, Skin Cancer and Melanoma Radiation Oncology ","Skin Cancer (Melanoma, Squamous Cell Carcinoma, Basal Cell Carcinoma, Merkel Cell Carcinoma, Dermatofibrosarcoma Protuberans, Cutaneous Angiosarcoma, Cutaneous Sarcoma, Adnexal Carcinoma, Sweat Gland Carcinoma, Kaposi Sarcoma) | Soft Tissue Sarcomas | Keloid Scar | Eye Cancer | Ocular Melanomas (Melanoma of the Eye), Uveal Melanoma | Orbital Tumors | Breast Cancer | Lymphoma ","MD, University of Florida ",New York,I am a board-certified radiation oncologist who specializes in the treatment of skin cancer (including melanoma) and eye cancer with radiation therapy.,https://www.mskcc.org/cancer-care/doctors/christopher-barker
Kara M. Barnett,"Director, Anesthesia Services, MSK Monmouth ",Anesthesia for Ambulatory Surgery | Perioperative Lactation | Ambulatory Anesthesia | Postoperative Cognitive Dysfunction (POCD) Research ,"MD, Washington University School of Medicine (St. Louis) ",New York,"I am a board-certified anesthesiologist and Director of Anesthesia Services at Memorial Sloan Kettering Monmouth. At MSK Monmouth, we are proud to offer our patients access to surgical and interventional procedures closer to home and my goal is to provide them with safe and exceptional anesthesia care.",https://www.mskcc.org/cancer-care/doctors/kara-barnett
Marie E. Barnett,Assistant Attending Psychologist ,"Clinical Psychology for Children, Adolescents, Adults, and Family-Systems | Psycho-Oncology | Behavioral Medicine | Patient-Centered and Family-Focused Care | Evidence-Based Interventions | Cognitive-Behavioral Therapy ","PhD, Adelphi University ",New York,"I am a clinical psychologist on the MSK Kids team. I specialize in helping children, teens, and young adults with cancer, as well as their caregivers, with an emphasis family-centered care. I work with patients and their families at all points on the cancer journey, including treatment and survivorship.",https://www.mskcc.org/cancer-care/doctors/marie-barnett
Lisa R. Barr,"Director, House Staff Education ",Critical Care Medicine | Post-anesthesia Care ,"MD, Mount Sinai School of Medicine ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/lisa-barr
Andrea V. Barrio,Associate Attending Surgeon ,Breast Disease ,"MD, University of California at Los Angeles ",New York,I am a breast surgical oncologist who specializes exclusively in the treatment of breast diseases. I perform all aspects of breast cancer surgery. I also have extensive experience in caring for people with benign disease.,https://www.mskcc.org/cancer-care/doctors/andrea-barrio
Andrew R. Barsky,Assistant Attending Radiation Oncologist ,"Prostate Cancer | Bladder Cancer | Testicular Cancer | Metastatic Disease | Brain, Bone, and Spine Tumors | Breast Cancer | Intensity-Modulated Radiation Therapy (IMRT) | Stereotactic Body Radiotherapy (SBRT)/Stereotactic Ablative Radiotherapy (SABR) | Stereotactic Radiosurgery (SRS) | Image-Guided Radiation Therapy (IGRT) ","MD, Perelman School of Medicine at the University of Pennsylvania ",Commack,"I am a board-certified radiation oncologist specializing in the treatment of genitourinary cancers (including prostate, bladder, and testicular cancer), as well as breast cancer, central nervous system cancer, and metastatic cancers of the spine, brain, bone, liver, and lungs.",https://www.mskcc.org/cancer-care/doctors/andrew-barsky
Meredith Bartelstein,Assistant Attending Surgeon ,Bone Sarcoma | Benign Bone Tumors | Soft Tissue Sarcoma | Benign Soft Tissue Tumors | Metastatic Bone Disease ,"MD, Geisel School of Medicine at Dartmouth ",New York,Please note that this doctor’s office has recently moved. All patient appointments are now taking place at the Rockefeller Outpatient Pavilion at 160 East 53rd Street in Manhattan.,https://www.mskcc.org/cancer-care/doctors/meredith-bartelstein
Edmund Bartlett,Assistant Attending Surgeon ,Soft Tissue Sarcoma | Melanoma | Merkel Cell Carcinoma ,"MD, University of Pennsylvania Medical School ",New York,"I am a surgical oncologist who specializes in treating soft tissue sarcoma, melanoma, Merkel cell carcinoma, and splenic neoplasms. I care for patients at MSK Bergen and in Manhattan.",https://www.mskcc.org/cancer-care/doctors/edmund-bartlett
Ori Barzilai,Director of Minimally Invasive Spine Oncology ,Primary and Metastatic Spinal Tumors | Complex Reconstruction and Stabilization of the Spine | Minimally Invasive Spine Surgery | Degenerative Spinal Disorders | Endoscopic Spinal Surgery | Intradural Tumors | Tumors of the Spinal Cord | Neurofibromatosis | Schwannomatosis ,"MD, Tel Aviv University ",Montvale,"I am a neurosurgeon who specializes in caring for people with primary spine tumors or cancer that has spread to the spine from other parts of the body. I have specialty training in using leading-edge surgical methods to treat spinal tumors and degenerative disorders. These include minimally invasive techniques, spinal endoscopy, image guidance, and robotics. Advanced approaches allow me to remove tumors with the highest level of precision while making the lowest impact on my patients’ quality of life.",https://www.mskcc.org/cancer-care/doctors/ori-barzilai
Olca Basturk,Attending Pathologist ,Gastrointestinal and Pancreatobiliary Pathology ,"MD, Ege University Medical School (Turkey) ",New York,"I am a pathologist trained in oncologic and gastrointestinal pathology. My main interest is pancreaticobiliary diseases, and my research has particularly focused on pancreas and gallbladder neoplasms. My career goals are to investigate these tumors from clinical, morphologic, and molecular perspectives such as exploring the pathologic factors that may predict the behavior of these neoplasms or genetic factors in their pathogenesis.",https://www.mskcc.org/cancer-care/doctors/olca-basturk
